Molecular Function,Sample 1 Cellular Components Count,Sample 2 Cellular Components Count,Sample 3 Cellular Components Count,Sample 4 Cellular Components Count
GO:0045156,120776,81635,94818,111290
GO:0005198,27052,24415,23123,30544
GO:0000287,20681,14182,15328,15396
GO:0005524,76621,53430,59716,45356
GO:0016168,11083,6510,8518,8970
GO:0016887,11648,8665,10811,8531
GO:0004672,8127,8042,6431,6145
GO:0004129,7923,6728,4958,7213
GO:0005506,8916,7107,5998,7169
GO:0009055,15983,12017,11397,13173
GO:0020037,13350,11542,9393,11201
GO:0016984,6623,4425,5160,5542
GO:0003924,5199,7618,3208,4506
GO:0016491,39589,32532,34941,30383
GO:0003677,39913,24017,36171,24288
GO:0003824,22953,17132,21444,15600
GO:0005525,10941,7411,7777,6074
GO:0003676,10928,7030,8535,5953
GO:0008519,3662,1408,5803,2415
GO:0008484,3155,2216,3327,1977
GO:0005515,16294,15810,11980,12644
GO:0003723,11447,7292,9683,7099
GO:0003968,3441,2742,3153,3038
GO:0016820,2776,1545,1907,1643
GO:0003700,8034,5177,7116,5114
GO:0016987,5988,3533,5319,3763
GO:0004872,5094,2423,4342,2434
GO:0005215,8586,6290,8576,5659
GO:0051082,3255,2963,1502,1750
GO:0005507,5478,2697,4942,3831
GO:0030170,5108,3987,4893,3825
GO:0051536,6866,5010,6202,4677
GO:0015002,2161,1106,1457,1836
GO:0003899,11632,3518,10120,3525
GO:0015078,5938,3014,4096,4079
GO:0004013,1970,1253,1404,1101
GO:0050662,2111,1350,1998,1317
GO:0003735,38473,17703,27596,17302
GO:0005509,7582,7048,6079,5755
GO:0016209,1969,929,1781,1042
GO:0004252,3755,2943,3404,2931
GO:0004427,1938,1233,1590,1200
GO:0009678,1746,1088,1458,1090
GO:0008234,1715,2370,1119,1451
GO:0008483,1629,1213,1584,1136
GO:0004356,2020,1096,1742,839
GO:0016620,3401,2695,2501,2310
GO:0003755,1378,940,997,833
GO:0000166,6438,4525,5699,3848
GO:0004812,4018,2504,3538,2219
GO:0016747,2886,2198,2459,2105
GO:0016787,6632,5223,7055,4878
GO:0016627,2606,2149,2629,2085
GO:0019843,3015,1156,2159,1186
GO:0030976,2275,1693,2048,1536
GO:0004222,3495,2188,2970,1941
GO:0008134,1166,1056,1246,948
GO:0016616,3285,2332,2844,2063
GO:0016779,1408,887,1433,860
GO:0016705,1683,1100,1555,1049
GO:0003774,2099,2051,872,1176
GO:0046912,1040,931,898,882
GO:0046933,2703,1430,1832,1471
GO:0046961,2028,1084,1366,1150
GO:0004298,984,687,606,603
GO:0046983,2202,967,2040,949
GO:0008270,4340,3124,3668,2888
GO:0016832,980,582,742,566
GO:0004601,963,654,769,627
GO:0016651,1134,640,921,715
GO:0048038,1749,915,1546,1005
GO:0051287,3706,2539,3399,2355
GO:0046872,7226,4566,6079,4556
GO:0003995,935,763,830,742
GO:0008565,1344,652,1323,779
GO:0050660,2551,1971,2555,1776
GO:0000155,1032,941,1193,774
GO:0004618,856,547,634,554
GO:0016624,833,635,770,578
GO:0004784,1472,400,1225,596
GO:0016301,1722,1641,1207,1414
GO:0004611,810,713,305,483
GO:0016901,795,366,818,448
GO:0004176,1368,859,1037,702
GO:0008199,834,886,543,444
GO:0016849,760,670,797,608
GO:0004634,1086,954,761,703
GO:0003746,1081,554,786,490
GO:0004612,749,814,511,748
GO:0016772,1479,1544,1118,1330
GO:0004451,711,560,422,492
GO:0003743,1466,839,1103,684
GO:0004807,667,436,467,371
GO:0051537,875,594,849,696
GO:0003918,1179,716,995,681
GO:0016866,641,453,549,450
GO:0031419,1247,971,1117,876
GO:0008168,2416,2023,2320,1807
GO:0008236,1301,821,1277,816
GO:0071949,622,366,519,388
GO:0004375,609,457,571,344
GO:0003777,1020,1672,736,913
GO:0008017,602,740,446,545
GO:0016746,1128,888,986,794
GO:0015930,777,388,618,366
GO:0016638,614,329,501,284
GO:0030151,695,930,725,892
GO:0003916,1101,522,953,477
GO:0030234,579,200,702,262
GO:0015299,571,475,556,429
GO:0016740,1280,912,1137,721
GO:0008184,555,461,441,334
GO:0016903,570,685,505,670
GO:0004803,1572,1477,1615,1193
GO:0003697,1065,540,978,597
GO:0003872,532,469,461,404
GO:0008137,1166,638,985,781
GO:0042626,670,573,661,512
GO:0008750,506,352,467,348
GO:0050661,1254,851,1027,763
GO:0016625,803,789,780,651
GO:0016765,728,412,618,352
GO:0004332,501,640,315,476
GO:0004019,494,257,409,280
GO:0004813,487,278,378,240
GO:0016876,613,424,606,309
GO:0004478,1367,1022,1079,887
GO:0016810,723,575,757,518
GO:0036459,471,532,294,345
GO:0003857,844,710,688,640
GO:0004329,467,460,352,288
GO:0008641,463,429,409,322
GO:0008113,440,206,436,238
GO:0000774,437,227,252,159
GO:0042803,451,237,263,165
GO:0051087,442,230,252,166
GO:0016151,643,822,457,899
GO:0008658,540,415,564,345
GO:0004550,433,311,285,233
GO:0016829,1732,1264,1691,1324
GO:0004743,429,391,340,286
GO:0030955,429,391,340,286
GO:0004450,427,235,341,227
GO:0008759,420,204,415,242
GO:0004616,617,336,526,381
GO:0005216,790,546,822,536
GO:0004781,405,314,262,195
GO:0043565,1379,1264,1434,1208
GO:0005315,404,509,247,553
GO:0003840,397,362,508,362
GO:0004066,380,313,359,258
GO:0022857,380,352,264,304
GO:0010181,926,849,952,712
GO:0004055,373,186,264,155
GO:0004871,1386,1333,1235,986
GO:0019001,372,410,224,319
GO:0031683,372,410,224,319
GO:0004185,410,340,272,301
GO:0030246,597,383,575,368
GO:0004519,801,398,628,417
GO:0016614,520,431,597,393
GO:0008237,678,495,675,481
GO:0004455,354,139,261,141
GO:0003883,353,190,277,176
GO:0008080,591,525,548,434
GO:0017025,333,128,226,143
GO:0004020,319,204,286,150
GO:0004347,322,262,268,204
GO:0003942,317,167,263,143
GO:0004659,316,225,300,239
GO:0015116,314,235,249,202
GO:0016831,591,438,512,450
GO:0004177,487,350,475,282
GO:0004853,304,269,244,210
GO:0004749,301,140,207,101
GO:0033743,301,138,294,163
GO:0004045,315,174,237,120
GO:0004474,296,268,252,299
GO:0018580,295,244,272,201
GO:0017150,290,172,226,169
GO:0015035,481,285,441,256
GO:0004489,287,274,243,194
GO:0042132,407,325,335,335
GO:0042578,312,283,217,291
GO:0004181,329,349,309,256
GO:0008987,281,130,220,155
GO:0051539,776,488,755,480
GO:0051745,275,114,192,135
GO:0048037,444,290,396,290
GO:0016857,289,120,224,165
GO:0016868,674,443,601,392
GO:0016742,301,214,247,194
GO:0004748,362,175,318,174
GO:0015321,267,368,216,295
GO:0005328,266,325,208,242
GO:0004719,261,310,254,269
GO:0003747,261,161,208,127
GO:0004127,259,141,237,86
GO:0016149,259,146,273,133
GO:0015655,258,169,291,153
GO:0004107,257,124,237,141
GO:0009982,427,299,429,274
GO:0008097,243,91,152,86
GO:0016597,466,301,430,321
GO:0016743,478,327,408,355
